en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,,Attalea barreirensis,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Cerrado (lato sensu),,BR-BA|BR-GO|BR-PI|BR-TO,
,,Bactris timbuiensis,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Butia capitata,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),cultivated,Cerrado (lato sensu)|Palmeiral,,BR-BA|BR-GO|BR-MG,
woolly jelly palm,butia-da-serra,Butia eriospatha,(Mart. ex Drude) Becc.,,Arecaceae,Palmeira,palm,perennial,high,6,6,10,,,evergreen,7,,human food;materials,melittophily,ornitochory,Vulnerável (VU),naturalized,Campo de Altitude|Campo Limpo|Palmeiral,,BR-PR|BR-RS|BR-SC,
,,Butia exilata,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Campo de Altitude,,BR-RS,
,,Butia leptospatha,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),naturalized,Cerrado (lato sensu),,BR-MS,
,,Butia microspadix,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),cultivated,Campo de Altitude|Campo Limpo|Cerrado (lato sensu),,BR-PR|BR-SP,
,,Butia purpurascens,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Em Perigo (EN),naturalized,Cerrado (lato sensu),,BR-GO|BR-MG,
,,Butia yatay,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Campo de Altitude|Campo Limpo|Palmeiral,,BR-RS,
jucara,jucara,Euterpe edulis,Mart.,,Arecaceae,Palmeira,palm,perennial,medium-high,5,12,,50,,evergreen,20,secundaria3,human food,,,Vulnerável (VU),native,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),2x1,BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,,Syagrus glaucescens,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),naturalized,Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Vegetação Sobre Afloramentos Rochosos,,BR-MG,
,,Syagrus macrocarpa,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Em Perigo (EN),cultivated,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ,
,,Syagrus mendanhensis,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),cultivated,Campo rupestre,,BR-MG,
,,Syagrus picrophylla,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-ES|BR-RJ,
,,Syagrus ruschiana,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-ES|BR-MG,
,,Syagrus weddelliana,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Trithrinax acanthocoma,,,Arecaceae,Palmeira,palm,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-PR|BR-RS|BR-SC,
,,Aristolochia hypoglauca,,,Aristolochiaceae,Liana/volúvel/trepadeira,,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Aristolochia odora,,,Aristolochiaceae,Liana/volúvel/trepadeira,,,,,,,,,,,,,,,Vulnerável (VU),naturalized,Área Antrópica|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-MG|BR-RJ|BR-SP,
,,Aristolochia raja,,,Aristolochiaceae,Liana/volúvel/trepadeira,,,,,,,,,,,,,,,Em Perigo (EN),native,Restinga,,BR-RJ,
,,Gongylanthus liebmannianus,,,Arnelliaceae,Folhosa,other,,,,,,,,,,,,,,Em Perigo (EN),cultivated,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Southbya organensis,,,Arnelliaceae,Folhosa,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Floresta Ombrófila Mista,,BR-RJ,
,,Asplenium beckeri,,,Aspleniaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Asplenium bradeanum,,,Aspleniaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Asplenium cariocanum,,,Aspleniaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Asplenium castaneum,,,Aspleniaceae,herb,other,,,,,,,,,,,,,,Em Perigo (EN),native,Campo de Altitude,,BR-RJ,
,,Asplenium schwackei,,,Aspleniaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Campo rupestre,,BR-MG,
,,Asplenium trindadense,,,Aspleniaceae,herb,other,,,,,,,,,,,,,,Criticamente em Perigo (CR),cultivated,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Stenophalium eriodes,,,Asteraceae,subshrub,subshrub,,,,,,,,,,,,,,Vulnerável (VU),native,Campo rupestre,,BR-BA,
,,Acmella pusilla,,,Asteraceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),native,Campo Limpo,,BR-PR|BR-RS,
,,Acritopappus buiquensis,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),native,Floresta Ombrófila (= Floresta Pluvial),,BR-PE,
,,Acritopappus catolesensis,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Acritopappus connatifolius,,,Asteraceae,Arbusto|Árvore,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Campo rupestre,,BR-BA,
,,Acritopappus harleyi,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),naturalized,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Acritopappus irwinii,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),naturalized,Campo rupestre|Cerrado (lato sensu),,BR-MG,
,,Acritopappus pereirae,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),naturalized,Campo rupestre,,BR-MG,
,,Acritopappus pintoi,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Acritopappus prunifolius,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Acritopappus subtomentosus,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),cultivated,Campo rupestre|Cerrado (lato sensu),,BR-MG,
,,Acritopappus teixeirae,,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),cultivated,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
